img_name                              , img_path                                         , common_name                 , iNat ID, observed_on, observation_url                               , image_url                                                              , scientific_name         , taxon_family_name, taxon_genus_name
00000_coast redwood.jpg               , images_all/00000_coast redwood.jpg               , coast redwood               ,   59737, 2012-03-23 , http://www.inaturalist.org/observations/59737 , https://inaturalist-open-data.s3.amazonaws.com/photos/92670/medium.jpg , Sequoia sempervirens    , Cupressaceae     , Sequoia
00001_california poppy.jpg            , images_all/00001_california poppy.jpg            , california poppy            ,   89382, 2012-06-07 , http://www.inaturalist.org/observations/89382 , https://inaturalist-open-data.s3.amazonaws.com/photos/130636/medium.JPG, Eschscholzia californica, Papaveraceae     , Eschscholzia
00002_wild radish.jpg                 , images_all/00002_wild radish.jpg                 , wild radish                 ,   89383, 2012-06-07 , http://www.inaturalist.org/observations/89383 , https://inaturalist-open-data.s3.amazonaws.com/photos/130356/medium.jpg, Raphanus raphanistrum   , Brassicaceae     , Raphanus
00003_silver hairgrass.jpg            , images_all/00003_silver hairgrass.jpg            , silver hairgrass            ,   89384, 2012-06-07 , http://www.inaturalist.org/observations/89384 , https://inaturalist-open-data.s3.amazonaws.com/photos/130634/medium.JPG, Aira caryophyllea       , Poaceae          , Aira
00004_greater quaking grass.jpg       , images_all/00004_greater quaking grass.jpg       , greater quaking grass       ,   89555, 2012-06-07 , http://www.inaturalist.org/observations/89555 , https://inaturalist-open-data.s3.amazonaws.com/photos/130638/medium.JPG, Briza maxima            , Poaceae          , Briza
00005_california poppy.jpg            , images_all/00005_california poppy.jpg            , california poppy            ,  214158, 2013-03-03 , http://www.inaturalist.org/observations/214158, https://static.inaturalist.org/photos/269952/medium.jpg                , Eschscholzia californica, Papaveraceae     , Eschscholzia
00006_white ramping-fumitory.jpg      , images_all/00006_white ramping-fumitory.jpg      , white ramping-fumitory      ,  229325, 2013-04-04 , http://www.inaturalist.org/observations/229325, https://inaturalist-open-data.s3.amazonaws.com/photos/288608/medium.jpg, Fumaria capreolata      , Papaveraceae     , Fumaria
00007_miner's lettuce.jpg             , images_all/00007_miner's lettuce.jpg             , miner's lettuce             ,  230822, 2013-04-04 , http://www.inaturalist.org/observations/230822, https://static.inaturalist.org/photos/290257/medium.jpg                , Claytonia perfoliata    , Montiaceae       , Claytonia
00008_fremont's death camas.jpg       , images_all/00008_fremont's death camas.jpg       , fremont's death camas       ,  230835, 2013-04-05 , http://www.inaturalist.org/observations/230835, https://static.inaturalist.org/photos/290272/medium.jpg                , Toxicoscordion fremontii, Melanthiaceae    , Toxicoscordion
00009_catchweed bedstraw.jpg          , images_all/00009_catchweed bedstraw.jpg          , catchweed bedstraw          ,  230836, 2013-04-05 , http://www.inaturalist.org/observations/230836, https://static.inaturalist.org/photos/290273/medium.jpg                , Galium aparine          , Rubiaceae        , Galium
00010_wall barley.jpg                 , images_all/00010_wall barley.jpg                 , wall barley                 ,  233878, 2013-04-10 , http://www.inaturalist.org/observations/233878, https://inaturalist-open-data.s3.amazonaws.com/photos/293979/medium.jpg, Hordeum murinum         , Poaceae          , Hordeum
00011_baldhip rose.jpg                , images_all/00011_baldhip rose.jpg                , baldhip rose                ,  243183, 2013-04-22 , http://www.inaturalist.org/observations/243183, https://inaturalist-open-data.s3.amazonaws.com/photos/304220/medium.jpg, Rosa gymnocarpa         , Rosaceae         , Rosa
00012_western azalea.jpg              , images_all/00012_western azalea.jpg              , western azalea              ,  248306, 2013-04-16 , http://www.inaturalist.org/observations/248306, https://inaturalist-open-data.s3.amazonaws.com/photos/309947/medium.jpg, Rhododendron occidentale, Ericaceae        , Rhododendron
00013_western rattlesnake plantain.jpg, images_all/00013_western rattlesnake plantain.jpg, western rattlesnake plantain,  252486, 2013-04-25 , http://www.inaturalist.org/observations/252486, https://inaturalist-open-data.s3.amazonaws.com/photos/314699/medium.jpg, Goodyera oblongifolia   , Orchidaceae      , Goodyera
00014_pacific sanicle.jpg             , images_all/00014_pacific sanicle.jpg             , pacific sanicle             ,  265691, 2013-04-28 , http://www.inaturalist.org/observations/265691, https://inaturalist-open-data.s3.amazonaws.com/photos/329276/medium.JPG, Sanicula crassicaulis   , Apiaceae         , Sanicula
00015_cut-leaved crane's-bill.jpg     , images_all/00015_cut-leaved crane's-bill.jpg     , cut-leaved crane's-bill     ,  265709, 2013-04-28 , http://www.inaturalist.org/observations/265709, https://inaturalist-open-data.s3.amazonaws.com/photos/329304/medium.JPG, Geranium dissectum      , Geraniaceae      , Geranium
00016_dove's-foot crane's-bill.jpg    , images_all/00016_dove's-foot crane's-bill.jpg    , dove's-foot crane's-bill    ,  265710, 2013-04-28 , http://www.inaturalist.org/observations/265710, https://inaturalist-open-data.s3.amazonaws.com/photos/329311/medium.JPG, Geranium molle          , Geraniaceae      , Geranium
00017_milkmaids.jpg                   , images_all/00017_milkmaids.jpg                   , milkmaids                   ,  265712, 2013-04-28 , http://www.inaturalist.org/observations/265712, https://inaturalist-open-data.s3.amazonaws.com/photos/329314/medium.JPG, Cardamine californica   , Brassicaceae     , Cardamine
00018_silverleaf cotoneaster.jpg      , images_all/00018_silverleaf cotoneaster.jpg      , silverleaf cotoneaster      ,  265714, 2013-04-28 , http://www.inaturalist.org/observations/265714, https://inaturalist-open-data.s3.amazonaws.com/photos/329316/medium.JPG, Cotoneaster pannosus    , Rosaceae         , Cotoneaster
00019_herb robert.jpg                 , images_all/00019_herb robert.jpg                 , herb robert                 ,  265715, 2013-04-28 , http://www.inaturalist.org/observations/265715, https://inaturalist-open-data.s3.amazonaws.com/photos/329317/medium.JPG, Geranium robertianum    , Geraniaceae      , Geranium
00020_broad-leaved helleborine.jpg    , images_all/00020_broad-leaved helleborine.jpg    , broad-leaved helleborine    ,  265721, 2013-04-28 , http://www.inaturalist.org/observations/265721, https://inaturalist-open-data.s3.amazonaws.com/photos/329323/medium.JPG, Epipactis helleborine   , Orchidaceae      , Epipactis
