common_name,count
coast redwood,364
pacific hound's tongue,271
redwood sorrel,266
california bay,265
western heart's ease,241
california poppy,225
woodland strawberry,177
bermuda buttercup,170
coyote brush,157
sun cup,154
western blue-eyed grass,154
tanoak,151
broadleaf forget-me-not,143
pacific poison oak,134
pacific madrone,133
scarlet pimpernel,133
ribwort plantain,128
pacific trillium,126
lawn daisy,119
coast live oak,118
western sword fern,116
common bracken,115
miner's lettuce,111
fremont's death camas,110
greater quaking grass,103
milkmaids,102
pacific sanicle,95
western starflower,94
mediterranean stork's-bill,94
california fetid adderstongue,92
broad-leaved helleborine,87
redwood violet,86
california hedge nettle,86
narrow-leaved clover,86
evergreen huckleberry,85
white globe lily,76
french broom,74
garden radish,69
yerba buena,68
pink honeysuckle,67
wavy-leafed soap plant,64
coastal woodfern,59
orange bush monkeyflower,57
field marigold,56
hairy brackenfern,53
douglas-fir,52
american trailplant,51
brittleleaf manzanita,49
douglas iris,48
woodland madia,47
beaked hazelnut,46
poison hemlock,44
california milkwort,43
bigleaf maple,43
redstem stork's-bill,42
california buckeye,41
yellow mariposa lily,40
reddish tufted vetch,40
field madder,40
giant chain fern,39
eggleaf spurge,37
gray's anemone,37
common cat's-ear,37
santa cruz manzanita,35
cut-leaved crane's-bill,34
pride of madeira,34
common vetch,34
tolmie's pussy ears,34
bull thistle,34
bird's-eye speedwell,34
wild radish,33
baldhip rose,33
sky lupine,33
blueblossom,33
pale flax,32
petty spurge,32
creeping snowberry,31
california hazelnut,30
geraniums and cranesbills,29
witch's-teeth,29
rose clover,28
checkerbloom,28
white horehound,28
thimbleberry,27
california mugwort,27
common selfheal,25
hooker's fairybells,24
crinite manzanita,23
mock strawberry,23
musk stork's-bill,23
crescent-cup liverwort,23
belladonna lily,23
western rattlesnake plantain,22
telegraphweed,22
field bindweed,22
silverleaf cotoneaster,21
shreve oak,21
red-flowering currant,21
pink knotweed,21
calla lily,20
pale pink-sorrel,20
sheep's sorrel,20
blackwood,20
white ramping-fumitory,19
mexican fleabane,19
lesser hop trefoil,19
hummingbird sage,19
greater periwinkle,19
coast oak,19
dove's-foot crane's-bill,18
common yarrow,18
common hedge parsley,18
rose campion,18
italian thistle,17
goldback fern,17
turkey mullein,17
fennel,17
bur clover,17
california golden violet,17
sweet scabious,17
orchard grass,17
armenian blackberry,16
three-cornered garlic,16
spreading rush,15
california buttercup,15
subterranean clover,15
jimsonweed,15
checker lily,14
harlequin flower,14
pineapple-weed,14
toyon,14
purple salsify,14
fava bean,14
lady fern,14
rosy sandcrocus,14
purple sanicle,14
red valerian,14
crofton weed,14
purple foxglove,14
catchweed bedstraw,13
western azalea,13
harvest brodiaea,13
california harebell,13
sweet alyssum,13
tall flatsedge,13
wartleaf ceanothus,12
solomon's plume,12
rayless arnica,12
western wild ginger,12
california sagebrush,12
common soft brome,12
coffeeberry,12
buck's-horn plantain,12
tidy tips,12
small-flowered catchfly,11
summer snowflake,11
herb robert,10
purple needlegrass,10
little quaking-grass,10
fragrant bedstraw,10
andrews' clintonia,10
prettyface,10
mountain sweet cicely,10
star-flowered lily-of-the-valley,10
garden nasturtium,10
feverfew,10
fragrant everlasting,10
hairy bittercress,10
bunch-flowered daffodil,10
rosilla,9
california pitcher sage,9
striped coralroot,9
creeping woodsorrel,9
hoary rock-rose,9
knobcone pine,9
spotted medick,9
bristly dogtail grass,9
moth mullein,9
rosemary grevillea,9
borage,9
california beeplant,8
common ivy,8
fernald's iris,8
panic veldtgrass,8
western vervain,8
stork's-bills,8
western columbine,8
roughleaf aster,8
white clover,8
american pokeweed,8
blue elder,8
small melilot,8
australian cheesewood,8
california bedstraw,8
coast silk tassel,8
trailing blackberry,8
carpet bugle,7
lemon balm,7
ivy-leaved toadflax,7
california live oak,7
bristly oxtongue,7
lesser periwinkle,7
stinking iris,7
rose-of-sharon,7
california oatgrass,6
beach strawberry,6
california yerba santa,6
western solomon's plume,6
monterey cypress,6
black sage,6
blue dicks,6
dwarf brodiaea,6
