img_name,img_path,scientific_name,iNat ID,observed_on,observation_url,image_url,common_name,taxon_family_name,taxon_genus_name
00000_Sequoia sempervirens.jpg,images_all/00000_Sequoia sempervirens.jpg,Sequoia sempervirens,59737,2012-03-23,http://www.inaturalist.org/observations/59737,https://inaturalist-open-data.s3.amazonaws.com/photos/92670/medium.jpg,coast redwood,Cupressaceae,Sequoia
00001_Eschscholzia californica.jpg,images_all/00001_Eschscholzia californica.jpg,Eschscholzia californica,89382,2012-06-07,http://www.inaturalist.org/observations/89382,https://inaturalist-open-data.s3.amazonaws.com/photos/130636/medium.JPG,california poppy,Papaveraceae,Eschscholzia
,,Raphanus raphanistrum,89383,2012-06-07,http://www.inaturalist.org/observations/89383,https://inaturalist-open-data.s3.amazonaws.com/photos/130356/medium.jpg,wild radish,Brassicaceae,Raphanus
,,Aira caryophyllea,89384,2012-06-07,http://www.inaturalist.org/observations/89384,https://inaturalist-open-data.s3.amazonaws.com/photos/130634/medium.JPG,silver hairgrass,Poaceae,Aira
00002_Briza maxima.jpg,images_all/00002_Briza maxima.jpg,Briza maxima,89555,2012-06-07,http://www.inaturalist.org/observations/89555,https://inaturalist-open-data.s3.amazonaws.com/photos/130638/medium.JPG,greater quaking grass,Poaceae,Briza
00003_Eschscholzia californica.jpg,images_all/00003_Eschscholzia californica.jpg,Eschscholzia californica,214158,2013-03-03,http://www.inaturalist.org/observations/214158,https://static.inaturalist.org/photos/269952/medium.jpg,california poppy,Papaveraceae,Eschscholzia
,,Fumaria capreolata,229325,2013-04-04,http://www.inaturalist.org/observations/229325,https://inaturalist-open-data.s3.amazonaws.com/photos/288608/medium.jpg,white ramping-fumitory,Papaveraceae,Fumaria
00004_Claytonia perfoliata.jpg,images_all/00004_Claytonia perfoliata.jpg,Claytonia perfoliata,230822,2013-04-04,http://www.inaturalist.org/observations/230822,https://static.inaturalist.org/photos/290257/medium.jpg,miner's lettuce,Montiaceae,Claytonia
00005_Toxicoscordion fremontii.jpg,images_all/00005_Toxicoscordion fremontii.jpg,Toxicoscordion fremontii,230835,2013-04-05,http://www.inaturalist.org/observations/230835,https://static.inaturalist.org/photos/290272/medium.jpg,fremont's death camas,Melanthiaceae,Toxicoscordion
,,Galium aparine,230836,2013-04-05,http://www.inaturalist.org/observations/230836,https://static.inaturalist.org/photos/290273/medium.jpg,catchweed bedstraw,Rubiaceae,Galium
,,Hordeum murinum,233878,2013-04-10,http://www.inaturalist.org/observations/233878,https://inaturalist-open-data.s3.amazonaws.com/photos/293979/medium.jpg,wall barley,Poaceae,Hordeum
,,Rosa gymnocarpa,243183,2013-04-22,http://www.inaturalist.org/observations/243183,https://inaturalist-open-data.s3.amazonaws.com/photos/304220/medium.jpg,baldhip rose,Rosaceae,Rosa
,,Rhododendron occidentale,248306,2013-04-16,http://www.inaturalist.org/observations/248306,https://inaturalist-open-data.s3.amazonaws.com/photos/309947/medium.jpg,western azalea,Ericaceae,Rhododendron
,,Goodyera oblongifolia,252486,2013-04-25,http://www.inaturalist.org/observations/252486,https://inaturalist-open-data.s3.amazonaws.com/photos/314699/medium.jpg,western rattlesnake plantain,Orchidaceae,Goodyera
00006_Sanicula crassicaulis.jpg,images_all/00006_Sanicula crassicaulis.jpg,Sanicula crassicaulis,265691,2013-04-28,http://www.inaturalist.org/observations/265691,https://inaturalist-open-data.s3.amazonaws.com/photos/329276/medium.JPG,pacific sanicle,Apiaceae,Sanicula
,,Geranium dissectum,265709,2013-04-28,http://www.inaturalist.org/observations/265709,https://inaturalist-open-data.s3.amazonaws.com/photos/329304/medium.JPG,cut-leaved crane's-bill,Geraniaceae,Geranium
,,Geranium molle,265710,2013-04-28,http://www.inaturalist.org/observations/265710,https://inaturalist-open-data.s3.amazonaws.com/photos/329311/medium.JPG,dove's-foot crane's-bill,Geraniaceae,Geranium
00007_Cardamine californica.jpg,images_all/00007_Cardamine californica.jpg,Cardamine californica,265712,2013-04-28,http://www.inaturalist.org/observations/265712,https://inaturalist-open-data.s3.amazonaws.com/photos/329314/medium.JPG,milkmaids,Brassicaceae,Cardamine
,,Cotoneaster pannosus,265714,2013-04-28,http://www.inaturalist.org/observations/265714,https://inaturalist-open-data.s3.amazonaws.com/photos/329316/medium.JPG,silverleaf cotoneaster,Rosaceae,Cotoneaster
,,Geranium robertianum,265715,2013-04-28,http://www.inaturalist.org/observations/265715,https://inaturalist-open-data.s3.amazonaws.com/photos/329317/medium.JPG,herb robert,Geraniaceae,Geranium
00008_Epipactis helleborine.jpg,images_all/00008_Epipactis helleborine.jpg,Epipactis helleborine,265721,2013-04-28,http://www.inaturalist.org/observations/265721,https://inaturalist-open-data.s3.amazonaws.com/photos/329323/medium.JPG,broad-leaved helleborine,Orchidaceae,Epipactis
00009_Eschscholzia californica.jpg,images_all/00009_Eschscholzia californica.jpg,Eschscholzia californica,276122,2013-05-18,http://www.inaturalist.org/observations/276122,https://inaturalist-open-data.s3.amazonaws.com/photos/341542/medium.jpg,california poppy,Papaveraceae,Eschscholzia
,,Erodium cicutarium,276127,2013-05-18,http://www.inaturalist.org/observations/276127,https://inaturalist-open-data.s3.amazonaws.com/photos/341554/medium.jpg,redstem stork's-bill,Geraniaceae,Erodium
,,Fragaria vesca californica,276128,2013-05-18,http://www.inaturalist.org/observations/276128,https://inaturalist-open-data.s3.amazonaws.com/photos/341555/medium.jpg,california strawberry,Rosaceae,Fragaria
,,Aesculus californica,277625,2013-05-23,http://www.inaturalist.org/observations/277625,https://inaturalist-open-data.s3.amazonaws.com/photos/343427/medium.JPG,california buckeye,Sapindaceae,Aesculus
,,Echium candicans,535335,2014-02-15,http://www.inaturalist.org/observations/535335,https://inaturalist-open-data.s3.amazonaws.com/photos/680767/medium.jpg,pride of madeira,Boraginaceae,Echium
00010_Oxalis pes-caprae.jpg,images_all/00010_Oxalis pes-caprae.jpg,Oxalis pes-caprae,547189,2014-02-04,http://www.inaturalist.org/observations/547189,https://inaturalist-open-data.s3.amazonaws.com/photos/701429/medium.jpg,bermuda buttercup,Oxalidaceae,Oxalis
00011_Sequoia sempervirens.jpg,images_all/00011_Sequoia sempervirens.jpg,Sequoia sempervirens,551966,2014-02-15,http://www.inaturalist.org/observations/551966,https://inaturalist-open-data.s3.amazonaws.com/photos/716491/medium.jpg,coast redwood,Cupressaceae,Sequoia
00012_Trillium ovatum.jpg,images_all/00012_Trillium ovatum.jpg,Trillium ovatum,555924,2014-03-06,http://www.inaturalist.org/observations/555924,https://inaturalist-open-data.s3.amazonaws.com/photos/708678/medium.jpg,pacific trillium,Melanthiaceae,Trillium
,,Echium candicans,599980,2014-02-15,http://www.inaturalist.org/observations/599980,https://inaturalist-open-data.s3.amazonaws.com/photos/755514/medium.jpg,pride of madeira,Boraginaceae,Echium
00013_Briza maxima.jpg,images_all/00013_Briza maxima.jpg,Briza maxima,671126,2014-05-10,http://www.inaturalist.org/observations/671126,https://inaturalist-open-data.s3.amazonaws.com/photos/845430/medium.JPG,greater quaking grass,Poaceae,Briza
,,Danthonia californica,671137,2014-05-10,http://www.inaturalist.org/observations/671137,https://inaturalist-open-data.s3.amazonaws.com/photos/845441/medium.JPG,california oatgrass,Poaceae,Danthonia
00014_Eschscholzia californica.jpg,images_all/00014_Eschscholzia californica.jpg,Eschscholzia californica,672657,2014-05-10,http://www.inaturalist.org/observations/672657,https://inaturalist-open-data.s3.amazonaws.com/photos/847230/medium.JPG,california poppy,Papaveraceae,Eschscholzia
00015_Arbutus menziesii.jpg,images_all/00015_Arbutus menziesii.jpg,Arbutus menziesii,1228145,2015-02-10,http://www.inaturalist.org/observations/1228145,https://inaturalist-open-data.s3.amazonaws.com/photos/1547056/medium.jpg,pacific madrone,Ericaceae,Arbutus
