img_name,img_path,scientific_name,iNat ID,observed_on,observation_url,image_url,common_name,taxon_family_name,taxon_genus_name
00000_Sequoia sempervirens.jpg,images_all/00000_Sequoia sempervirens.jpg,Sequoia sempervirens,59737,2012-03-23,http://www.inaturalist.org/observations/59737,https://inaturalist-open-data.s3.amazonaws.com/photos/92670/medium.jpg,coast redwood,Cupressaceae,Sequoia
00001_Eschscholzia californica.jpg,images_all/00001_Eschscholzia californica.jpg,Eschscholzia californica,89382,2012-06-07,http://www.inaturalist.org/observations/89382,https://inaturalist-open-data.s3.amazonaws.com/photos/130636/medium.JPG,california poppy,Papaveraceae,Eschscholzia
00002_Briza maxima.jpg,images_all/00002_Briza maxima.jpg,Briza maxima,89555,2012-06-07,http://www.inaturalist.org/observations/89555,https://inaturalist-open-data.s3.amazonaws.com/photos/130638/medium.JPG,greater quaking grass,Poaceae,Briza
00003_Eschscholzia californica.jpg,images_all/00003_Eschscholzia californica.jpg,Eschscholzia californica,214158,2013-03-03,http://www.inaturalist.org/observations/214158,https://static.inaturalist.org/photos/269952/medium.jpg,california poppy,Papaveraceae,Eschscholzia
00004_Claytonia perfoliata.jpg,images_all/00004_Claytonia perfoliata.jpg,Claytonia perfoliata,230822,2013-04-04,http://www.inaturalist.org/observations/230822,https://static.inaturalist.org/photos/290257/medium.jpg,miner's lettuce,Montiaceae,Claytonia
00005_Toxicoscordion fremontii.jpg,images_all/00005_Toxicoscordion fremontii.jpg,Toxicoscordion fremontii,230835,2013-04-05,http://www.inaturalist.org/observations/230835,https://static.inaturalist.org/photos/290272/medium.jpg,fremont's death camas,Melanthiaceae,Toxicoscordion
00006_Sanicula crassicaulis.jpg,images_all/00006_Sanicula crassicaulis.jpg,Sanicula crassicaulis,265691,2013-04-28,http://www.inaturalist.org/observations/265691,https://inaturalist-open-data.s3.amazonaws.com/photos/329276/medium.JPG,pacific sanicle,Apiaceae,Sanicula
00007_Cardamine californica.jpg,images_all/00007_Cardamine californica.jpg,Cardamine californica,265712,2013-04-28,http://www.inaturalist.org/observations/265712,https://inaturalist-open-data.s3.amazonaws.com/photos/329314/medium.JPG,milkmaids,Brassicaceae,Cardamine
00008_Epipactis helleborine.jpg,images_all/00008_Epipactis helleborine.jpg,Epipactis helleborine,265721,2013-04-28,http://www.inaturalist.org/observations/265721,https://inaturalist-open-data.s3.amazonaws.com/photos/329323/medium.JPG,broad-leaved helleborine,Orchidaceae,Epipactis
00009_Eschscholzia californica.jpg,images_all/00009_Eschscholzia californica.jpg,Eschscholzia californica,276122,2013-05-18,http://www.inaturalist.org/observations/276122,https://inaturalist-open-data.s3.amazonaws.com/photos/341542/medium.jpg,california poppy,Papaveraceae,Eschscholzia
00010_Oxalis pes-caprae.jpg,images_all/00010_Oxalis pes-caprae.jpg,Oxalis pes-caprae,547189,2014-02-04,http://www.inaturalist.org/observations/547189,https://inaturalist-open-data.s3.amazonaws.com/photos/701429/medium.jpg,bermuda buttercup,Oxalidaceae,Oxalis
00011_Sequoia sempervirens.jpg,images_all/00011_Sequoia sempervirens.jpg,Sequoia sempervirens,551966,2014-02-15,http://www.inaturalist.org/observations/551966,https://inaturalist-open-data.s3.amazonaws.com/photos/716491/medium.jpg,coast redwood,Cupressaceae,Sequoia
00012_Trillium ovatum.jpg,images_all/00012_Trillium ovatum.jpg,Trillium ovatum,555924,2014-03-06,http://www.inaturalist.org/observations/555924,https://inaturalist-open-data.s3.amazonaws.com/photos/708678/medium.jpg,pacific trillium,Melanthiaceae,Trillium
00013_Briza maxima.jpg,images_all/00013_Briza maxima.jpg,Briza maxima,671126,2014-05-10,http://www.inaturalist.org/observations/671126,https://inaturalist-open-data.s3.amazonaws.com/photos/845430/medium.JPG,greater quaking grass,Poaceae,Briza
00014_Eschscholzia californica.jpg,images_all/00014_Eschscholzia californica.jpg,Eschscholzia californica,672657,2014-05-10,http://www.inaturalist.org/observations/672657,https://inaturalist-open-data.s3.amazonaws.com/photos/847230/medium.JPG,california poppy,Papaveraceae,Eschscholzia
00015_Arbutus menziesii.jpg,images_all/00015_Arbutus menziesii.jpg,Arbutus menziesii,1228145,2015-02-10,http://www.inaturalist.org/observations/1228145,https://inaturalist-open-data.s3.amazonaws.com/photos/1547056/medium.jpg,pacific madrone,Ericaceae,Arbutus
00016_Toxicoscordion fremontii.jpg,images_all/00016_Toxicoscordion fremontii.jpg,Toxicoscordion fremontii,1228163,2015-02-10,http://www.inaturalist.org/observations/1228163,https://inaturalist-open-data.s3.amazonaws.com/photos/1547077/medium.jpg,fremont's death camas,Melanthiaceae,Toxicoscordion
00017_Viola ocellata.jpg,images_all/00017_Viola ocellata.jpg,Viola ocellata,1228166,2015-02-10,http://www.inaturalist.org/observations/1228166,https://inaturalist-open-data.s3.amazonaws.com/photos/1547080/medium.jpg,western heart's ease,Violaceae,Viola
00018_Umbellularia californica.jpg,images_all/00018_Umbellularia californica.jpg,Umbellularia californica,1237018,2015-01-27,http://www.inaturalist.org/observations/1237018,https://inaturalist-open-data.s3.amazonaws.com/photos/1557351/medium.jpg,california bay,Lauraceae,Umbellularia
00019_Eschscholzia californica.jpg,images_all/00019_Eschscholzia californica.jpg,Eschscholzia californica,1352749,2015-03-28,http://www.inaturalist.org/observations/1352749,https://inaturalist-open-data.s3.amazonaws.com/photos/1673960/medium.jpg,california poppy,Papaveraceae,Eschscholzia
00020_Taraxia ovata.jpg,images_all/00020_Taraxia ovata.jpg,Taraxia ovata,1353318,2015-03-31,http://www.inaturalist.org/observations/1353318,https://inaturalist-open-data.s3.amazonaws.com/photos/1674653/medium.jpg,sun cup,Onagraceae,Taraxia
00021_Scoliopus bigelovii.jpg,images_all/00021_Scoliopus bigelovii.jpg,Scoliopus bigelovii,1392887,2015-01-28,http://www.inaturalist.org/observations/1392887,https://static.inaturalist.org/photos/1722168/medium.jpg,california fetid adderstongue,Liliaceae,Scoliopus
00022_Myosotis latifolia.jpg,images_all/00022_Myosotis latifolia.jpg,Myosotis latifolia,1462053,2015-05-05,http://www.inaturalist.org/observations/1462053,https://static.inaturalist.org/photos/1812904/medium.jpg,broadleaf forget-me-not,Boraginaceae,Myosotis
00023_Diplacus aurantiacus.jpg,images_all/00023_Diplacus aurantiacus.jpg,Diplacus aurantiacus,1470576,2015-05-09,http://www.inaturalist.org/observations/1470576,https://static.inaturalist.org/photos/1822895/medium.jpg,orange bush monkeyflower,Phrymaceae,Diplacus
00024_Polystichum munitum.jpg,images_all/00024_Polystichum munitum.jpg,Polystichum munitum,2369625,2015-11-10,http://www.inaturalist.org/observations/2369625,https://inaturalist-open-data.s3.amazonaws.com/photos/2638458/medium.jpeg,western sword fern,Dryopteridaceae,Polystichum
00025_Sequoia sempervirens.jpg,images_all/00025_Sequoia sempervirens.jpg,Sequoia sempervirens,2493827,2015-12-16,http://www.inaturalist.org/observations/2493827,https://inaturalist-open-data.s3.amazonaws.com/photos/2799271/medium.jpg,coast redwood,Cupressaceae,Sequoia
00026_Scoliopus bigelovii.jpg,images_all/00026_Scoliopus bigelovii.jpg,Scoliopus bigelovii,2579623,2016-01-13,http://www.inaturalist.org/observations/2579623,https://inaturalist-open-data.s3.amazonaws.com/photos/2879544/medium.jpeg,california fetid adderstongue,Liliaceae,Scoliopus
00027_Adelinia grandis.jpg,images_all/00027_Adelinia grandis.jpg,Adelinia grandis,2601321,2016-01-19,http://www.inaturalist.org/observations/2601321,https://inaturalist-open-data.s3.amazonaws.com/photos/2904936/medium.jpeg,pacific hound's tongue,Boraginaceae,Adelinia
00028_Umbellularia californica.jpg,images_all/00028_Umbellularia californica.jpg,Umbellularia californica,2601322,2016-01-19,http://www.inaturalist.org/observations/2601322,https://inaturalist-open-data.s3.amazonaws.com/photos/2904937/medium.jpeg,california bay,Lauraceae,Umbellularia
