id,observed_on,url,image_url,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name
59737,2012-03-23,http://www.inaturalist.org/observations/59737,https://inaturalist-open-data.s3.amazonaws.com/photos/92670/medium.jpg,Sequoia sempervirens,coast redwood,Cupressaceae,Sequoia,Sequoia sempervirens
89382,2012-06-07,http://www.inaturalist.org/observations/89382,https://inaturalist-open-data.s3.amazonaws.com/photos/130636/medium.JPG,Eschscholzia californica,California poppy,Papaveraceae,Eschscholzia,Eschscholzia californica
89383,2012-06-07,http://www.inaturalist.org/observations/89383,https://inaturalist-open-data.s3.amazonaws.com/photos/130356/medium.jpg,Raphanus raphanistrum,Wild radish,Brassicaceae,Raphanus,Raphanus raphanistrum
89384,2012-06-07,http://www.inaturalist.org/observations/89384,https://inaturalist-open-data.s3.amazonaws.com/photos/130634/medium.JPG,Aira caryophyllea,Silver Hairgrass,Poaceae,Aira,Aira caryophyllea
89555,2012-06-07,http://www.inaturalist.org/observations/89555,https://inaturalist-open-data.s3.amazonaws.com/photos/130638/medium.JPG,Briza maxima,Greater Quaking Grass,Poaceae,Briza,Briza maxima
214158,2013-03-03,http://www.inaturalist.org/observations/214158,https://static.inaturalist.org/photos/269952/medium.jpg,Eschscholzia californica,California poppy,Papaveraceae,Eschscholzia,Eschscholzia californica
229325,2013-04-04,http://www.inaturalist.org/observations/229325,https://inaturalist-open-data.s3.amazonaws.com/photos/288608/medium.jpg,Fumaria capreolata,white ramping-fumitory,Papaveraceae,Fumaria,Fumaria capreolata
230822,2013-04-04,http://www.inaturalist.org/observations/230822,https://static.inaturalist.org/photos/290257/medium.jpg,Claytonia perfoliata,miner's lettuce,Montiaceae,Claytonia,Claytonia perfoliata
230835,2013-04-05,http://www.inaturalist.org/observations/230835,https://static.inaturalist.org/photos/290272/medium.jpg,Toxicoscordion fremontii,Fremont's Death Camas,Melanthiaceae,Toxicoscordion,Toxicoscordion fremontii
230836,2013-04-05,http://www.inaturalist.org/observations/230836,https://static.inaturalist.org/photos/290273/medium.jpg,Galium aparine,catchweed bedstraw,Rubiaceae,Galium,Galium aparine
233878,2013-04-10,http://www.inaturalist.org/observations/233878,https://inaturalist-open-data.s3.amazonaws.com/photos/293979/medium.jpg,Hordeum murinum,wall barley,Poaceae,Hordeum,Hordeum murinum
243183,2013-04-22,http://www.inaturalist.org/observations/243183,https://inaturalist-open-data.s3.amazonaws.com/photos/304220/medium.jpg,Rosa gymnocarpa,Baldhip Rose,Rosaceae,Rosa,Rosa gymnocarpa
248306,2013-04-16,http://www.inaturalist.org/observations/248306,https://inaturalist-open-data.s3.amazonaws.com/photos/309947/medium.jpg,Rhododendron occidentale,western azalea,Ericaceae,Rhododendron,Rhododendron occidentale
252486,2013-04-25,http://www.inaturalist.org/observations/252486,https://inaturalist-open-data.s3.amazonaws.com/photos/314699/medium.jpg,Goodyera oblongifolia,Western Rattlesnake Plantain,Orchidaceae,Goodyera,Goodyera oblongifolia
265691,2013-04-28,http://www.inaturalist.org/observations/265691,https://inaturalist-open-data.s3.amazonaws.com/photos/329276/medium.JPG,Sanicula crassicaulis,Pacific Sanicle,Apiaceae,Sanicula,Sanicula crassicaulis
265709,2013-04-28,http://www.inaturalist.org/observations/265709,https://inaturalist-open-data.s3.amazonaws.com/photos/329304/medium.JPG,Geranium dissectum,Cut-leaved crane's-bill,Geraniaceae,Geranium,Geranium dissectum
265710,2013-04-28,http://www.inaturalist.org/observations/265710,https://inaturalist-open-data.s3.amazonaws.com/photos/329311/medium.JPG,Geranium molle,Dove's-foot crane's-bill,Geraniaceae,Geranium,Geranium molle
265712,2013-04-28,http://www.inaturalist.org/observations/265712,https://inaturalist-open-data.s3.amazonaws.com/photos/329314/medium.JPG,Cardamine californica,milkmaids,Brassicaceae,Cardamine,Cardamine californica
265714,2013-04-28,http://www.inaturalist.org/observations/265714,https://inaturalist-open-data.s3.amazonaws.com/photos/329316/medium.JPG,Cotoneaster pannosus,silverleaf cotoneaster,Rosaceae,Cotoneaster,Cotoneaster pannosus
265715,2013-04-28,http://www.inaturalist.org/observations/265715,https://inaturalist-open-data.s3.amazonaws.com/photos/329317/medium.JPG,Geranium robertianum,Herb Robert,Geraniaceae,Geranium,Geranium robertianum
265721,2013-04-28,http://www.inaturalist.org/observations/265721,https://inaturalist-open-data.s3.amazonaws.com/photos/329323/medium.JPG,Epipactis helleborine,Broad-leaved helleborine,Orchidaceae,Epipactis,Epipactis helleborine
276122,2013-05-18,http://www.inaturalist.org/observations/276122,https://inaturalist-open-data.s3.amazonaws.com/photos/341542/medium.jpg,Eschscholzia californica,California poppy,Papaveraceae,Eschscholzia,Eschscholzia californica
276127,2013-05-18,http://www.inaturalist.org/observations/276127,https://inaturalist-open-data.s3.amazonaws.com/photos/341554/medium.jpg,Erodium cicutarium,Redstem Stork's-bill,Geraniaceae,Erodium,Erodium cicutarium
276128,2013-05-18,http://www.inaturalist.org/observations/276128,https://inaturalist-open-data.s3.amazonaws.com/photos/341555/medium.jpg,Fragaria vesca californica,California Strawberry,Rosaceae,Fragaria,Fragaria vesca
277625,2013-05-23,http://www.inaturalist.org/observations/277625,https://inaturalist-open-data.s3.amazonaws.com/photos/343427/medium.JPG,Aesculus californica,California buckeye,Sapindaceae,Aesculus,Aesculus californica
535335,2014-02-15,http://www.inaturalist.org/observations/535335,https://inaturalist-open-data.s3.amazonaws.com/photos/680767/medium.jpg,Echium candicans,Pride of Madeira,Boraginaceae,Echium,Echium candicans
547189,2014-02-04,http://www.inaturalist.org/observations/547189,https://inaturalist-open-data.s3.amazonaws.com/photos/701429/medium.jpg,Oxalis pes-caprae,Bermuda buttercup,Oxalidaceae,Oxalis,Oxalis pes-caprae
551966,2014-02-15,http://www.inaturalist.org/observations/551966,https://inaturalist-open-data.s3.amazonaws.com/photos/716491/medium.jpg,Sequoia sempervirens,coast redwood,Cupressaceae,Sequoia,Sequoia sempervirens
555924,2014-03-06,http://www.inaturalist.org/observations/555924,https://inaturalist-open-data.s3.amazonaws.com/photos/708678/medium.jpg,Trillium ovatum,Pacific trillium,Melanthiaceae,Trillium,Trillium ovatum
599980,2014-02-15,http://www.inaturalist.org/observations/599980,https://inaturalist-open-data.s3.amazonaws.com/photos/755514/medium.jpg,Echium candicans,Pride of Madeira,Boraginaceae,Echium,Echium candicans
671126,2014-05-10,http://www.inaturalist.org/observations/671126,https://inaturalist-open-data.s3.amazonaws.com/photos/845430/medium.JPG,Briza maxima,Greater Quaking Grass,Poaceae,Briza,Briza maxima
671137,2014-05-10,http://www.inaturalist.org/observations/671137,https://inaturalist-open-data.s3.amazonaws.com/photos/845441/medium.JPG,Danthonia californica,California oatgrass,Poaceae,Danthonia,Danthonia californica
672657,2014-05-10,http://www.inaturalist.org/observations/672657,https://inaturalist-open-data.s3.amazonaws.com/photos/847230/medium.JPG,Eschscholzia californica,California poppy,Papaveraceae,Eschscholzia,Eschscholzia californica
1228145,2015-02-10,http://www.inaturalist.org/observations/1228145,https://inaturalist-open-data.s3.amazonaws.com/photos/1547056/medium.jpg,Arbutus menziesii,Pacific madrone,Ericaceae,Arbutus,Arbutus menziesii
1228163,2015-02-10,http://www.inaturalist.org/observations/1228163,https://inaturalist-open-data.s3.amazonaws.com/photos/1547077/medium.jpg,Toxicoscordion fremontii,Fremont's Death Camas,Melanthiaceae,Toxicoscordion,Toxicoscordion fremontii
1228166,2015-02-10,http://www.inaturalist.org/observations/1228166,https://inaturalist-open-data.s3.amazonaws.com/photos/1547080/medium.jpg,Viola ocellata,western heart's ease,Violaceae,Viola,Viola ocellata
1237018,2015-01-27,http://www.inaturalist.org/observations/1237018,https://inaturalist-open-data.s3.amazonaws.com/photos/1557351/medium.jpg,Umbellularia californica,California bay,Lauraceae,Umbellularia,Umbellularia californica
1287764,2015-03-11,http://www.inaturalist.org/observations/1287764,https://inaturalist-open-data.s3.amazonaws.com/photos/1615211/medium.jpg,Fritillaria affinis,checker lily,Liliaceae,Fritillaria,Fritillaria affinis
1345382,2015-03-28,http://www.inaturalist.org/observations/1345382,https://static.inaturalist.org/photos/1664301/medium.jpg,Fragaria chiloensis,beach strawberry,Rosaceae,Fragaria,Fragaria chiloensis
1345401,2015-03-28,http://www.inaturalist.org/observations/1345401,https://inaturalist-open-data.s3.amazonaws.com/photos/1664360/medium.jpg,Fragaria chiloensis,beach strawberry,Rosaceae,Fragaria,Fragaria chiloensis
1352749,2015-03-28,http://www.inaturalist.org/observations/1352749,https://inaturalist-open-data.s3.amazonaws.com/photos/1673960/medium.jpg,Eschscholzia californica,California poppy,Papaveraceae,Eschscholzia,Eschscholzia californica
1353318,2015-03-31,http://www.inaturalist.org/observations/1353318,https://inaturalist-open-data.s3.amazonaws.com/photos/1674653/medium.jpg,Taraxia ovata,Sun Cup,Onagraceae,Taraxia,Taraxia ovata
1353319,2015-03-31,http://www.inaturalist.org/observations/1353319,https://inaturalist-open-data.s3.amazonaws.com/photos/1674652/medium.jpg,Lupinus nanus,Sky Lupine,Fabaceae,Lupinus,Lupinus nanus
1361559,2015-04-02,http://www.inaturalist.org/observations/1361559,https://static.inaturalist.org/photos/1683844/medium.jpg,Populus trichocarpa,black cottonwood,Salicaceae,Populus,Populus trichocarpa
1367899,2015-04-01,http://www.inaturalist.org/observations/1367899,https://static.inaturalist.org/photos/1691983/medium.jpg,Ceanothus thyrsiflorus thyrsiflorus,,Rhamnaceae,Ceanothus,Ceanothus thyrsiflorus
1368275,2015-03-28,http://www.inaturalist.org/observations/1368275,https://inaturalist-open-data.s3.amazonaws.com/photos/1692420/medium.jpg,Fragaria chiloensis,beach strawberry,Rosaceae,Fragaria,Fragaria chiloensis
1392887,2015-01-28,http://www.inaturalist.org/observations/1392887,https://static.inaturalist.org/photos/1722168/medium.jpg,Scoliopus bigelovii,California fetid adderstongue,Liliaceae,Scoliopus,Scoliopus bigelovii
1462053,2015-05-05,http://www.inaturalist.org/observations/1462053,https://static.inaturalist.org/photos/1812904/medium.jpg,Myosotis latifolia,broadleaf forget-me-not,Boraginaceae,Myosotis,Myosotis latifolia
1470576,2015-05-09,http://www.inaturalist.org/observations/1470576,https://static.inaturalist.org/photos/1822895/medium.jpg,Diplacus aurantiacus,orange bush monkeyflower,Phrymaceae,Diplacus,Diplacus aurantiacus
1501540,2015-05-16,http://www.inaturalist.org/observations/1501540,https://static.inaturalist.org/photos/1859720/medium.jpg,Calochortus luteus,Yellow Mariposa Lily,Liliaceae,Calochortus,Calochortus luteus
1554012,2015-05-16,http://www.inaturalist.org/observations/1554012,https://inaturalist-open-data.s3.amazonaws.com/photos/1924735/medium.jpg,Calochortus luteus,Yellow Mariposa Lily,Liliaceae,Calochortus,Calochortus luteus
1606043,2015-05-16,http://www.inaturalist.org/observations/1606043,https://inaturalist-open-data.s3.amazonaws.com/photos/1974916/medium.jpg,Calochortus luteus,Yellow Mariposa Lily,Liliaceae,Calochortus,Calochortus luteus
2369625,2015-11-10,http://www.inaturalist.org/observations/2369625,https://inaturalist-open-data.s3.amazonaws.com/photos/2638458/medium.jpeg,Polystichum munitum,western sword fern,Dryopteridaceae,Polystichum,Polystichum munitum
2493827,2015-12-16,http://www.inaturalist.org/observations/2493827,https://inaturalist-open-data.s3.amazonaws.com/photos/2799271/medium.jpg,Sequoia sempervirens,coast redwood,Cupressaceae,Sequoia,Sequoia sempervirens
2579623,2016-01-13,http://www.inaturalist.org/observations/2579623,https://inaturalist-open-data.s3.amazonaws.com/photos/2879544/medium.jpeg,Scoliopus bigelovii,California fetid adderstongue,Liliaceae,Scoliopus,Scoliopus bigelovii
2601321,2016-01-19,http://www.inaturalist.org/observations/2601321,https://inaturalist-open-data.s3.amazonaws.com/photos/2904936/medium.jpeg,Adelinia grandis,Pacific hound's tongue,Boraginaceae,Adelinia,Adelinia grandis
