species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
Coast Redwood,Sequoia sempervirens,coast redwood,Plantae,47372
California Poppy,Eschscholzia californica,California poppy,Plantae,48225
Wild radish,Raphanus raphanistrum,Wild radish,Plantae,55411
Silver Hairgrass,Aira caryophyllea,Silver Hairgrass,Plantae,52694
Big quakinggrass,Briza maxima,Greater Quaking Grass,Plantae,57157
California Poppy,Eschscholzia californica,California poppy,Plantae,48225
white ramping-fumitory,Fumaria capreolata,white ramping-fumitory,Plantae,57852
Claytonia perfoliata,Claytonia perfoliata,miner's lettuce,Plantae,52994
Fremont's Deathcamas,Toxicoscordion fremontii,Fremont's Death Camas,Plantae,49649
Cleavers (Galium aparine),Galium aparine,catchweed bedstraw,Plantae,53059
wall barley,Hordeum murinum,wall barley,Plantae,52796
Baldhip rose,Rosa gymnocarpa,Baldhip Rose,Plantae,53441
western azalea,Rhododendron occidentale,western azalea,Plantae,60527
Goodyera oblongifolia,Goodyera oblongifolia,Western Rattlesnake Plantain,Plantae,50719
snakeroot (Sanicula crassicaulis),Sanicula crassicaulis,Pacific Sanicle,Plantae,53201
Cut-leaved crane's-bill,Geranium dissectum,Cut-leaved crane's-bill,Plantae,53075
Dove's-foot crane's-bill,Geranium molle,Dove's-foot crane's-bill,Plantae,53076
milkmaids,Cardamine californica,milkmaids,Plantae,49651
silverleaf cotoneaster,Cotoneaster pannosus,silverleaf cotoneaster,Plantae,53375
herb Robert,Geranium robertianum,Herb Robert,Plantae,55925
Broad-leafed Helleborine,Epipactis helleborine,Broad-leaved helleborine,Plantae,50717
California Poppy,Eschscholzia californica,California poppy,Plantae,48225
Redstem Filaree,Erodium cicutarium,Redstem Stork's-bill,Plantae,47687
Fragaria vesca californica,Fragaria vesca californica,California Strawberry,Plantae,61095
California buckeye,Aesculus californica,California buckeye,Plantae,53348
Pride of Madeira,Echium candicans,Pride of Madeira,Plantae,57723
Bermuda buttercup,Oxalis pes-caprae,Bermuda buttercup,Plantae,53169
Coast Redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Pacific trillium,Trillium ovatum,Pacific trillium,Plantae,49463
Pride of Madeira,Echium candicans,Pride of Madeira,Plantae,57723
Big Quaking Grass,Briza maxima,Greater Quaking Grass,Plantae,57157
California oatgrass,Danthonia californica,California oatgrass,Plantae,57165
Eschscholzia californica,Eschscholzia californica,California poppy,Plantae,48225
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
Toxicoscordion fremontii,Toxicoscordion fremontii,Fremont's Death Camas,Plantae,49649
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
California bay,Umbellularia californica,California bay,Plantae,48807
checker lily,Fritillaria affinis,checker lily,Plantae,50618
beach strawberry,Fragaria chiloensis,beach strawberry,Plantae,55367
beach strawberry,Fragaria chiloensis,beach strawberry,Plantae,55367
California Poppy,Eschscholzia californica,California poppy,Plantae,48225
Sun Cup,Taraxia ovata,Sun Cup,Plantae,68182
Sky Lupine,Lupinus nanus,Sky Lupine,Plantae,50612
black cottonwood,Populus trichocarpa,black cottonwood,Plantae,78699
blue blossom,Ceanothus thyrsiflorus thyrsiflorus,,Plantae,56616
beach strawberry,Fragaria chiloensis,beach strawberry,Plantae,55367
California fetid adderstongue,Scoliopus bigelovii,California fetid adderstongue,Plantae,48990
broadleaf forget-me-not,Myosotis latifolia,broadleaf forget-me-not,Plantae,49132
orange bush monkeyflower,Diplacus aurantiacus,orange bush monkeyflower,Plantae,777371
Yellow mariposa lily,Calochortus luteus,Yellow Mariposa Lily,Plantae,51077
Yellow Mariposa Lily,Calochortus luteus,Yellow Mariposa Lily,Plantae,51077
Yellow Mariposa Lily,Calochortus luteus,Yellow Mariposa Lily,Plantae,51077
western sword fern,Polystichum munitum,western sword fern,Plantae,47751
Coast Redwood,Sequoia sempervirens,coast redwood,Plantae,47372
Scoliopus bigelovii,Scoliopus bigelovii,California fetid adderstongue,Plantae,48990
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
California bay,Umbellularia californica,California bay,Plantae,48807
Redwood Sorrel,Oxalis smalliana,Redwood Sorrel,Plantae,1464017
milkmaids,Cardamine californica,milkmaids,Plantae,49651
Whipple's claopodium moss,Claopodium whippleanum,Whipple's claopodium moss,Plantae,67868
Homalothecium nuttallii,Homalothecium nuttallii,Nuttall's homalothecium moss,Plantae,67892
Polytrichum juniperinum,Polytrichum juniperinum,juniper haircap moss,Plantae,68286
Pacific madrone,Arbutus menziesii,Pacific madrone,Plantae,51046
Pacific hound's tongue,Adelinia grandis,Pacific hound's tongue,Plantae,1520640
Redwood Violet,Viola sempervirens,Redwood Violet,Plantae,55342
Common Groundsel,Senecio vulgaris,common groundsel,Plantae,53211
Fremont's Deathcamas,Toxicoscordion fremontii,Fremont's Death Camas,Plantae,49649
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
Ox-eye Daisy,Leucanthemum vulgare,oxeye daisy,Plantae,56057
Heterotheca grandiflora,Heterotheca grandiflora,Telegraphweed,Plantae,58831
Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
Cut-leaved crane's-bill,Geranium dissectum,Cut-leaved crane's-bill,Plantae,53075
Carduus pycnocephalus,Carduus pycnocephalus,Italian thistle,Plantae,52990
Helenium puberulum,Helenium puberulum,Rosilla,Plantae,53092
woodland madia,Anisocarpus madioides,woodland madia,Plantae,53137
Bellis perennis,Bellis perennis,Lawn daisy,Plantae,55563
Anthoceros fusiformis,Anthoceros fusiformis,,Plantae,56326
Scrophularia californica,Scrophularia californica,California beeplant,Plantae,50812
crinite manzanita,Arctostaphylos crustacea crinita,crinite manzanita,Plantae,79586
Wartleaf Ceanothus,Ceanothus papillosus,Wartleaf Ceanothus,Plantae,64281
Redwood Violet,Viola sempervirens,Redwood Violet,Plantae,55342
western azalea,Rhododendron occidentale,western azalea,Plantae,60527
Sanicula crassicaulis,Sanicula crassicaulis,Pacific Sanicle,Plantae,53201
western heart's ease,Viola ocellata,western heart's ease,Plantae,61782
Small-flowered Catchfly,Silene gallica,Small-flowered Catchfly,Plantae,53212
Pacific Sanicle,Sanicula crassicaulis,Pacific Sanicle,Plantae,53201
Rose Clover,Trifolium hirtum,Rose Clover,Plantae,57078
Pimpernel,Lysimachia arvensis,scarlet pimpernel,Plantae,791928
mock strawberry,Potentilla indica,mock strawberry,Plantae,243824
Common Vetch,Vicia sativa,Common Vetch,Plantae,53324
common yarrow,Achillea millefolium,common yarrow,Plantae,52821
Broad-leaved Helleborine,Epipactis helleborine,Broad-leaved helleborine,Plantae,50717
common yarrow,Achillea millefolium,common yarrow,Plantae,52821
calla lily,Zantedeschia aethiopica,calla lily,Plantae,56006
Cut-leaved crane's-bill,Geranium dissectum,Cut-leaved crane's-bill,Plantae,53075
woodland madia,Anisocarpus madioides,woodland madia,Plantae,53137
woodland madia,Anisocarpus madioides,woodland madia,Plantae,53137
coastal woodfern,Dryopteris arguta,coastal woodfern,Plantae,52671
coast redwood,Sequoia sempervirens,coast redwood,Plantae,47372
milkmaids,Cardamine californica,milkmaids,Plantae,49651
common bracken,Pteridium aquilinum,common bracken,Plantae,52681
