CUDA is available. Using GPU.

Train inputs: torch.Size([64, 3, 224, 224])
Train outputs: torch.Size([64])

Test inputs: torch.Size([16, 3, 224, 224])
Test outputs: torch.Size([16])

Validation inputs: torch.Size([16, 3, 224, 224])
Validation outputs: torch.Size([16])

Image shape: torch.Size([64, 3, 224, 224])
Output shape: torch.Size([64, 25])
Epoch: 001/100 || Training Loss: 3.399025 || Avg Training Loss: 4.765741 || Training Accuracy: 0.092672 || Runtime: 0.15 mins
Epoch: 002/100 || Training Loss: 2.666188 || Avg Training Loss: 3.012992 || Training Accuracy: 0.147689 || Runtime: 0.14 mins
Epoch: 003/100 || Training Loss: 3.059738 || Avg Training Loss: 2.695020 || Training Accuracy: 0.190981 || Runtime: 0.15 mins
Epoch: 004/100 || Training Loss: 2.255779 || Avg Training Loss: 2.592950 || Training Accuracy: 0.226156 || Runtime: 0.14 mins
Epoch: 005/100 || Training Loss: 2.520030 || Avg Training Loss: 2.447771 || Training Accuracy: 0.250056 || Runtime: 0.14 mins
Epoch: 006/100 || Training Loss: 2.259263 || Avg Training Loss: 2.326984 || Training Accuracy: 0.275761 || Runtime: 0.14 mins
Epoch: 007/100 || Training Loss: 2.272231 || Avg Training Loss: 2.280092 || Training Accuracy: 0.309808 || Runtime: 0.14 mins
Epoch: 008/100 || Training Loss: 2.225090 || Avg Training Loss: 2.200265 || Training Accuracy: 0.320406 || Runtime: 0.14 mins
Epoch: 009/100 || Training Loss: 2.064062 || Avg Training Loss: 2.131332 || Training Accuracy: 0.344081 || Runtime: 0.14 mins
Epoch: 010/100 || Training Loss: 2.804552 || Avg Training Loss: 2.086623 || Training Accuracy: 0.358737 || Runtime: 0.15 mins
Epoch: 011/100 || Training Loss: 2.090924 || Avg Training Loss: 2.007683 || Training Accuracy: 0.373168 || Runtime: 0.14 mins
Epoch: 012/100 || Training Loss: 2.156025 || Avg Training Loss: 1.955808 || Training Accuracy: 0.397069 || Runtime: 0.14 mins
Epoch: 013/100 || Training Loss: 2.991110 || Avg Training Loss: 1.892987 || Training Accuracy: 0.411274 || Runtime: 0.14 mins
Epoch: 014/100 || Training Loss: 1.556390 || Avg Training Loss: 1.811400 || Training Accuracy: 0.438106 || Runtime: 0.14 mins
Epoch: 015/100 || Training Loss: 1.598210 || Avg Training Loss: 1.773459 || Training Accuracy: 0.436528 || Runtime: 0.14 mins
Epoch: 016/100 || Training Loss: 1.775774 || Avg Training Loss: 1.712268 || Training Accuracy: 0.452537 || Runtime: 0.14 mins
Epoch: 017/100 || Training Loss: 1.710089 || Avg Training Loss: 1.633221 || Training Accuracy: 0.475310 || Runtime: 0.15 mins
Epoch: 018/100 || Training Loss: 1.557983 || Avg Training Loss: 1.601904 || Training Accuracy: 0.488388 || Runtime: 0.14 mins
Epoch: 019/100 || Training Loss: 1.729709 || Avg Training Loss: 1.590868 || Training Accuracy: 0.490643 || Runtime: 0.14 mins
Epoch: 020/100 || Training Loss: 2.307408 || Avg Training Loss: 1.529282 || Training Accuracy: 0.518377 || Runtime: 0.14 mins
Epoch: 021/100 || Training Loss: 2.234394 || Avg Training Loss: 1.478882 || Training Accuracy: 0.527170 || Runtime: 0.14 mins
Epoch: 022/100 || Training Loss: 1.698873 || Avg Training Loss: 1.418192 || Training Accuracy: 0.540924 || Runtime: 0.14 mins
Epoch: 023/100 || Training Loss: 0.943630 || Avg Training Loss: 1.342187 || Training Accuracy: 0.569109 || Runtime: 0.14 mins
Epoch: 024/100 || Training Loss: 2.237038 || Avg Training Loss: 1.338871 || Training Accuracy: 0.579932 || Runtime: 0.15 mins
Epoch: 025/100 || Training Loss: 0.949285 || Avg Training Loss: 1.296223 || Training Accuracy: 0.586020 || Runtime: 0.14 mins
Epoch: 026/100 || Training Loss: 1.484755 || Avg Training Loss: 1.271710 || Training Accuracy: 0.589628 || Runtime: 0.14 mins
Epoch: 027/100 || Training Loss: 0.961509 || Avg Training Loss: 1.185665 || Training Accuracy: 0.618715 || Runtime: 0.14 mins
Epoch: 028/100 || Training Loss: 1.114674 || Avg Training Loss: 1.113566 || Training Accuracy: 0.645096 || Runtime: 0.14 mins
Epoch: 029/100 || Training Loss: 0.889158 || Avg Training Loss: 1.114070 || Training Accuracy: 0.641714 || Runtime: 0.14 mins
Epoch: 030/100 || Training Loss: 1.454527 || Avg Training Loss: 1.034711 || Training Accuracy: 0.670575 || Runtime: 0.14 mins
Epoch: 031/100 || Training Loss: 1.060730 || Avg Training Loss: 1.030020 || Training Accuracy: 0.668546 || Runtime: 0.14 mins
Epoch: 032/100 || Training Loss: 0.960403 || Avg Training Loss: 0.951176 || Training Accuracy: 0.699887 || Runtime: 0.14 mins
Epoch: 033/100 || Training Loss: 0.835088 || Avg Training Loss: 0.960061 || Training Accuracy: 0.697182 || Runtime: 0.14 mins
Epoch: 034/100 || Training Loss: 1.624465 || Avg Training Loss: 0.895286 || Training Accuracy: 0.713416 || Runtime: 0.14 mins
Epoch: 035/100 || Training Loss: 1.399640 || Avg Training Loss: 0.887506 || Training Accuracy: 0.719504 || Runtime: 0.14 mins
Epoch: 036/100 || Training Loss: 0.836530 || Avg Training Loss: 0.827774 || Training Accuracy: 0.742503 || Runtime: 0.14 mins
Epoch: 037/100 || Training Loss: 0.912892 || Avg Training Loss: 0.819522 || Training Accuracy: 0.745660 || Runtime: 0.14 mins
Epoch: 038/100 || Training Loss: 1.127030 || Avg Training Loss: 0.735848 || Training Accuracy: 0.768207 || Runtime: 0.15 mins
Epoch: 039/100 || Training Loss: 1.243375 || Avg Training Loss: 0.736632 || Training Accuracy: 0.771364 || Runtime: 0.14 mins
Epoch: 040/100 || Training Loss: 0.958385 || Avg Training Loss: 0.677503 || Training Accuracy: 0.780383 || Runtime: 0.14 mins
Epoch: 041/100 || Training Loss: 0.746728 || Avg Training Loss: 0.703164 || Training Accuracy: 0.765051 || Runtime: 0.15 mins
Epoch: 042/100 || Training Loss: 0.586349 || Avg Training Loss: 0.619020 || Training Accuracy: 0.801578 || Runtime: 0.14 mins
Epoch: 043/100 || Training Loss: 1.108011 || Avg Training Loss: 0.618687 || Training Accuracy: 0.808568 || Runtime: 0.14 mins
Epoch: 044/100 || Training Loss: 0.944991 || Avg Training Loss: 0.627099 || Training Accuracy: 0.806990 || Runtime: 0.14 mins
Epoch: 045/100 || Training Loss: 1.115265 || Avg Training Loss: 0.591580 || Training Accuracy: 0.809470 || Runtime: 0.14 mins
Epoch: 046/100 || Training Loss: 1.249897 || Avg Training Loss: 0.556736 || Training Accuracy: 0.821421 || Runtime: 0.14 mins
Epoch: 047/100 || Training Loss: 0.727499 || Avg Training Loss: 0.599577 || Training Accuracy: 0.817136 || Runtime: 0.14 mins
Epoch: 048/100 || Training Loss: 0.291791 || Avg Training Loss: 0.523864 || Training Accuracy: 0.837655 || Runtime: 0.15 mins
Epoch: 049/100 || Training Loss: 0.688825 || Avg Training Loss: 0.513880 || Training Accuracy: 0.833596 || Runtime: 0.14 mins
Epoch: 050/100 || Training Loss: 1.251445 || Avg Training Loss: 0.512522 || Training Accuracy: 0.843067 || Runtime: 0.14 mins
Epoch: 051/100 || Training Loss: 0.213680 || Avg Training Loss: 0.529000 || Training Accuracy: 0.826832 || Runtime: 0.14 mins
Epoch: 052/100 || Training Loss: 0.472049 || Avg Training Loss: 0.483661 || Training Accuracy: 0.854566 || Runtime: 0.14 mins
