CUDA is available. Using GPU.

Train inputs: torch.Size([64, 3, 224, 224])
Train outputs: torch.Size([64])

Test inputs: torch.Size([16, 3, 224, 224])
Test outputs: torch.Size([16])

Validation inputs: torch.Size([16, 3, 224, 224])
Validation outputs: torch.Size([16])

Image shape: torch.Size([64, 3, 224, 224])
Output shape: torch.Size([64, 25])
Epoch: 001/100 || Training Loss: 3.409827 || Avg Training Loss: 5.023405 || Training Accuracy: 0.113641 || Runtime: 0.13 mins
Epoch: 002/100 || Training Loss: 2.809611 || Avg Training Loss: 2.779541 || Training Accuracy: 0.201578 || Runtime: 0.13 mins
Epoch: 003/100 || Training Loss: 2.312761 || Avg Training Loss: 2.528642 || Training Accuracy: 0.252537 || Runtime: 0.13 mins
Epoch: 004/100 || Training Loss: 2.897064 || Avg Training Loss: 2.400903 || Training Accuracy: 0.275536 || Runtime: 0.13 mins
Epoch: 005/100 || Training Loss: 2.466100 || Avg Training Loss: 2.327973 || Training Accuracy: 0.297407 || Runtime: 0.13 mins
Epoch: 006/100 || Training Loss: 2.336068 || Avg Training Loss: 2.213516 || Training Accuracy: 0.325366 || Runtime: 0.13 mins
Epoch: 007/100 || Training Loss: 2.269435 || Avg Training Loss: 2.111511 || Training Accuracy: 0.354679 || Runtime: 0.13 mins
Epoch: 008/100 || Training Loss: 1.862262 || Avg Training Loss: 2.039157 || Training Accuracy: 0.381736 || Runtime: 0.13 mins
Epoch: 009/100 || Training Loss: 1.306708 || Avg Training Loss: 1.961724 || Training Accuracy: 0.390755 || Runtime: 0.13 mins
Epoch: 010/100 || Training Loss: 2.729199 || Avg Training Loss: 1.877020 || Training Accuracy: 0.414205 || Runtime: 0.13 mins
Epoch: 011/100 || Training Loss: 2.100037 || Avg Training Loss: 1.857110 || Training Accuracy: 0.422999 || Runtime: 0.13 mins
Epoch: 012/100 || Training Loss: 1.804158 || Avg Training Loss: 1.747131 || Training Accuracy: 0.450733 || Runtime: 0.13 mins
Epoch: 013/100 || Training Loss: 2.107889 || Avg Training Loss: 1.713285 || Training Accuracy: 0.465163 || Runtime: 0.12 mins
Epoch: 014/100 || Training Loss: 1.110066 || Avg Training Loss: 1.652717 || Training Accuracy: 0.477565 || Runtime: 0.13 mins
Epoch: 015/100 || Training Loss: 1.871573 || Avg Training Loss: 1.583169 || Training Accuracy: 0.506652 || Runtime: 0.13 mins
Epoch: 016/100 || Training Loss: 2.742000 || Avg Training Loss: 1.578683 || Training Accuracy: 0.509808 || Runtime: 0.13 mins
Epoch: 017/100 || Training Loss: 1.172777 || Avg Training Loss: 1.482032 || Training Accuracy: 0.526043 || Runtime: 0.13 mins
Epoch: 018/100 || Training Loss: 1.711915 || Avg Training Loss: 1.479890 || Training Accuracy: 0.537091 || Runtime: 0.13 mins
Epoch: 019/100 || Training Loss: 1.218694 || Avg Training Loss: 1.366376 || Training Accuracy: 0.566855 || Runtime: 0.13 mins
Epoch: 020/100 || Training Loss: 1.745427 || Avg Training Loss: 1.331374 || Training Accuracy: 0.577903 || Runtime: 0.13 mins
Epoch: 021/100 || Training Loss: 1.771382 || Avg Training Loss: 1.289323 || Training Accuracy: 0.597971 || Runtime: 0.13 mins
Epoch: 022/100 || Training Loss: 1.157261 || Avg Training Loss: 1.218089 || Training Accuracy: 0.616911 || Runtime: 0.13 mins
Epoch: 023/100 || Training Loss: 2.123435 || Avg Training Loss: 1.225490 || Training Accuracy: 0.625479 || Runtime: 0.13 mins
Epoch: 024/100 || Training Loss: 1.515310 || Avg Training Loss: 1.129309 || Training Accuracy: 0.645321 || Runtime: 0.13 mins
Epoch: 025/100 || Training Loss: 1.064229 || Avg Training Loss: 1.083492 || Training Accuracy: 0.657948 || Runtime: 0.13 mins
Epoch: 026/100 || Training Loss: 0.544212 || Avg Training Loss: 1.004175 || Training Accuracy: 0.682300 || Runtime: 0.13 mins
Epoch: 027/100 || Training Loss: 0.838714 || Avg Training Loss: 0.950893 || Training Accuracy: 0.703044 || Runtime: 0.13 mins
Epoch: 028/100 || Training Loss: 0.709268 || Avg Training Loss: 0.932604 || Training Accuracy: 0.698760 || Runtime: 0.13 mins
Epoch: 029/100 || Training Loss: 1.027484 || Avg Training Loss: 0.907469 || Training Accuracy: 0.712289 || Runtime: 0.13 mins
Epoch: 030/100 || Training Loss: 0.915192 || Avg Training Loss: 0.807490 || Training Accuracy: 0.746787 || Runtime: 0.13 mins
Epoch: 031/100 || Training Loss: 1.723572 || Avg Training Loss: 0.802426 || Training Accuracy: 0.745434 || Runtime: 0.13 mins
Epoch: 032/100 || Training Loss: 1.429932 || Avg Training Loss: 0.824606 || Training Accuracy: 0.741601 || Runtime: 0.13 mins
Epoch: 033/100 || Training Loss: 0.610510 || Avg Training Loss: 0.727034 || Training Accuracy: 0.768884 || Runtime: 0.13 mins
Epoch: 034/100 || Training Loss: 0.721995 || Avg Training Loss: 0.718315 || Training Accuracy: 0.775648 || Runtime: 0.13 mins
Epoch: 035/100 || Training Loss: 1.226551 || Avg Training Loss: 0.694416 || Training Accuracy: 0.782638 || Runtime: 0.13 mins
Epoch: 036/100 || Training Loss: 1.109092 || Avg Training Loss: 0.635763 || Training Accuracy: 0.795265 || Runtime: 0.13 mins
Epoch: 037/100 || Training Loss: 1.022277 || Avg Training Loss: 0.598381 || Training Accuracy: 0.815558 || Runtime: 0.13 mins
Epoch: 038/100 || Training Loss: 0.304973 || Avg Training Loss: 0.580740 || Training Accuracy: 0.817813 || Runtime: 0.13 mins
Epoch: 039/100 || Training Loss: 0.664882 || Avg Training Loss: 0.562615 || Training Accuracy: 0.818489 || Runtime: 0.13 mins
Epoch: 040/100 || Training Loss: 0.546595 || Avg Training Loss: 0.570367 || Training Accuracy: 0.814882 || Runtime: 0.13 mins
Epoch: 041/100 || Training Loss: 0.949793 || Avg Training Loss: 0.533792 || Training Accuracy: 0.841037 || Runtime: 0.13 mins
Epoch: 042/100 || Training Loss: 0.873487 || Avg Training Loss: 0.521262 || Training Accuracy: 0.838106 || Runtime: 0.13 mins
Epoch: 043/100 || Training Loss: 0.930951 || Avg Training Loss: 0.517746 || Training Accuracy: 0.837880 || Runtime: 0.13 mins
Epoch: 044/100 || Training Loss: 0.285675 || Avg Training Loss: 0.459584 || Training Accuracy: 0.858850 || Runtime: 0.13 mins
Epoch: 045/100 || Training Loss: 0.751187 || Avg Training Loss: 0.482544 || Training Accuracy: 0.848929 || Runtime: 0.13 mins
