CUDA is available. Using GPU.

Train inputs: torch.Size([64, 3, 224, 224])
Train outputs: torch.Size([64])

Test inputs: torch.Size([16, 3, 224, 224])
Test outputs: torch.Size([16])

Validation inputs: torch.Size([16, 3, 224, 224])
Validation outputs: torch.Size([16])

Image shape: torch.Size([64, 3, 224, 224])
Output shape: torch.Size([64, 25])
Epoch: 001/100 || Training Loss: 2.320645 || Avg Training Loss: 3.081305 || Training Accuracy: 0.143405 || Runtime: 0.15 mins
Epoch: 002/100 || Training Loss: 1.929358 || Avg Training Loss: 2.528117 || Training Accuracy: 0.243743 || Runtime: 0.14 mins
Epoch: 003/100 || Training Loss: 2.462547 || Avg Training Loss: 2.255271 || Training Accuracy: 0.314769 || Runtime: 0.14 mins
Epoch: 004/100 || Training Loss: 1.531893 || Avg Training Loss: 2.028115 || Training Accuracy: 0.376776 || Runtime: 0.13 mins
Epoch: 005/100 || Training Loss: 1.427321 || Avg Training Loss: 1.869501 || Training Accuracy: 0.431116 || Runtime: 0.13 mins
Epoch: 006/100 || Training Loss: 2.248792 || Avg Training Loss: 1.733773 || Training Accuracy: 0.455919 || Runtime: 0.14 mins
Epoch: 007/100 || Training Loss: 1.981587 || Avg Training Loss: 1.625991 || Training Accuracy: 0.496731 || Runtime: 0.14 mins
Epoch: 008/100 || Training Loss: 1.329293 || Avg Training Loss: 1.509527 || Training Accuracy: 0.526043 || Runtime: 0.14 mins
Epoch: 009/100 || Training Loss: 1.792717 || Avg Training Loss: 1.427754 || Training Accuracy: 0.554679 || Runtime: 0.13 mins
Epoch: 010/100 || Training Loss: 1.121061 || Avg Training Loss: 1.308193 || Training Accuracy: 0.583991 || Runtime: 0.14 mins
Epoch: 011/100 || Training Loss: 1.111292 || Avg Training Loss: 1.226735 || Training Accuracy: 0.617813 || Runtime: 0.14 mins
Epoch: 012/100 || Training Loss: 1.200213 || Avg Training Loss: 1.128518 || Training Accuracy: 0.650958 || Runtime: 0.14 mins
Epoch: 013/100 || Training Loss: 1.149531 || Avg Training Loss: 1.040609 || Training Accuracy: 0.670349 || Runtime: 0.14 mins
Epoch: 014/100 || Training Loss: 1.402966 || Avg Training Loss: 0.952005 || Training Accuracy: 0.710034 || Runtime: 0.14 mins
Epoch: 015/100 || Training Loss: 0.765732 || Avg Training Loss: 0.864351 || Training Accuracy: 0.722435 || Runtime: 0.13 mins
Epoch: 016/100 || Training Loss: 1.118389 || Avg Training Loss: 0.841951 || Training Accuracy: 0.735062 || Runtime: 0.13 mins
Epoch: 017/100 || Training Loss: 0.735466 || Avg Training Loss: 0.734441 || Training Accuracy: 0.767306 || Runtime: 0.14 mins
Epoch: 018/100 || Training Loss: 1.353660 || Avg Training Loss: 0.716337 || Training Accuracy: 0.778129 || Runtime: 0.13 mins
Epoch: 019/100 || Training Loss: 0.979261 || Avg Training Loss: 0.654581 || Training Accuracy: 0.796843 || Runtime: 0.14 mins
Epoch: 020/100 || Training Loss: 1.147514 || Avg Training Loss: 0.605367 || Training Accuracy: 0.813980 || Runtime: 0.13 mins
Epoch: 021/100 || Training Loss: 0.715386 || Avg Training Loss: 0.555693 || Training Accuracy: 0.822322 || Runtime: 0.14 mins
Epoch: 022/100 || Training Loss: 0.410362 || Avg Training Loss: 0.510386 || Training Accuracy: 0.844645 || Runtime: 0.14 mins
Epoch: 023/100 || Training Loss: 0.808347 || Avg Training Loss: 0.476551 || Training Accuracy: 0.856595 || Runtime: 0.14 mins
Epoch: 024/100 || Training Loss: 0.552650 || Avg Training Loss: 0.450386 || Training Accuracy: 0.860428 || Runtime: 0.14 mins
Epoch: 025/100 || Training Loss: 0.256028 || Avg Training Loss: 0.396166 || Training Accuracy: 0.876663 || Runtime: 0.13 mins
