CUDA is available. Using GPU.

Train inputs: torch.Size([64, 3, 224, 224])
Train outputs: torch.Size([64])

Test inputs: torch.Size([16, 3, 224, 224])
Test outputs: torch.Size([16])

Validation inputs: torch.Size([16, 3, 224, 224])
Validation outputs: torch.Size([16])

Image shape: torch.Size([64, 3, 224, 224])
Output shape: torch.Size([64, 25])
Epoch: 001/040 || Training Loss: 2.647226 || Avg Training Loss: 2.941815 || Training Accuracy: 0.174972 || Runtime: 0.14 mins
Epoch: 002/040 || Training Loss: 1.932745 || Avg Training Loss: 2.414013 || Training Accuracy: 0.273281 || Runtime: 0.13 mins
Epoch: 003/040 || Training Loss: 1.919471 || Avg Training Loss: 2.183825 || Training Accuracy: 0.336640 || Runtime: 0.13 mins
Epoch: 004/040 || Training Loss: 1.719126 || Avg Training Loss: 1.967329 || Training Accuracy: 0.406539 || Runtime: 0.13 mins
Epoch: 005/040 || Training Loss: 1.425829 || Avg Training Loss: 1.826684 || Training Accuracy: 0.431567 || Runtime: 0.13 mins
Epoch: 006/040 || Training Loss: 2.438880 || Avg Training Loss: 1.710929 || Training Accuracy: 0.469222 || Runtime: 0.13 mins
Epoch: 007/040 || Training Loss: 1.213403 || Avg Training Loss: 1.576667 || Training Accuracy: 0.505750 || Runtime: 0.13 mins
Epoch: 008/040 || Training Loss: 1.295767 || Avg Training Loss: 1.452552 || Training Accuracy: 0.549718 || Runtime: 0.14 mins
Epoch: 009/040 || Training Loss: 1.624509 || Avg Training Loss: 1.355072 || Training Accuracy: 0.571364 || Runtime: 0.13 mins
Epoch: 010/040 || Training Loss: 1.719878 || Avg Training Loss: 1.235365 || Training Accuracy: 0.617136 || Runtime: 0.13 mins
Epoch: 011/040 || Training Loss: 0.923361 || Avg Training Loss: 1.144094 || Training Accuracy: 0.637430 || Runtime: 0.13 mins
Epoch: 012/040 || Training Loss: 0.931113 || Avg Training Loss: 1.063270 || Training Accuracy: 0.665389 || Runtime: 0.13 mins
Epoch: 013/040 || Training Loss: 1.362037 || Avg Training Loss: 0.998801 || Training Accuracy: 0.695152 || Runtime: 0.13 mins
